full_date,date_key,full_date_str,year,quarter,month,month_name,day_of_month,day_of_week,day_name,is_weekend
2026-03-31,20260331,2026-03-31,2026,Q1,3,March,31,1,Tuesday,False
2026-04-01,20260401,2026-04-01,2026,Q2,4,April,1,2,Wednesday,False
2026-04-02,20260402,2026-04-02,2026,Q2,4,April,2,3,Thursday,False
2026-04-03,20260403,2026-04-03,2026,Q2,4,April,3,4,Friday,False
2026-04-04,20260404,2026-04-04,2026,Q2,4,April,4,5,Saturday,True
2026-04-05,20260405,2026-04-05,2026,Q2,4,April,5,6,Sunday,True
2026-04-06,20260406,2026-04-06,2026,Q2,4,April,6,0,Monday,False
2026-04-07,20260407,2026-04-07,2026,Q2,4,April,7,1,Tuesday,False
2026-04-08,20260408,2026-04-08,2026,Q2,4,April,8,2,Wednesday,False
2026-04-09,20260409,2026-04-09,2026,Q2,4,April,9,3,Thursday,False
2026-04-10,20260410,2026-04-10,2026,Q2,4,April,10,4,Friday,False
2026-04-11,20260411,2026-04-11,2026,Q2,4,April,11,5,Saturday,True
2026-04-12,20260412,2026-04-12,2026,Q2,4,April,12,6,Sunday,True
2026-04-13,20260413,2026-04-13,2026,Q2,4,April,13,0,Monday,False
2026-04-14,20260414,2026-04-14,2026,Q2,4,April,14,1,Tuesday,False
2026-04-15,20260415,2026-04-15,2026,Q2,4,April,15,2,Wednesday,False
2026-04-16,20260416,2026-04-16,2026,Q2,4,April,16,3,Thursday,False
2026-04-17,20260417,2026-04-17,2026,Q2,4,April,17,4,Friday,False
2026-04-18,20260418,2026-04-18,2026,Q2,4,April,18,5,Saturday,True
2026-04-19,20260419,2026-04-19,2026,Q2,4,April,19,6,Sunday,True
2026-04-20,20260420,2026-04-20,2026,Q2,4,April,20,0,Monday,False
2026-04-21,20260421,2026-04-21,2026,Q2,4,April,21,1,Tuesday,False
2026-04-22,20260422,2026-04-22,2026,Q2,4,April,22,2,Wednesday,False
2026-04-23,20260423,2026-04-23,2026,Q2,4,April,23,3,Thursday,False
2026-04-24,20260424,2026-04-24,2026,Q2,4,April,24,4,Friday,False
2026-04-25,20260425,2026-04-25,2026,Q2,4,April,25,5,Saturday,True
2026-04-26,20260426,2026-04-26,2026,Q2,4,April,26,6,Sunday,True
2026-04-27,20260427,2026-04-27,2026,Q2,4,April,27,0,Monday,False
2026-04-28,20260428,2026-04-28,2026,Q2,4,April,28,1,Tuesday,False
2026-04-29,20260429,2026-04-29,2026,Q2,4,April,29,2,Wednesday,False
2026-04-30,20260430,2026-04-30,2026,Q2,4,April,30,3,Thursday,False
2026-05-01,20260501,2026-05-01,2026,Q2,5,May,1,4,Friday,False
2026-05-02,20260502,2026-05-02,2026,Q2,5,May,2,5,Saturday,True
2026-05-03,20260503,2026-05-03,2026,Q2,5,May,3,6,Sunday,True
2026-05-04,20260504,2026-05-04,2026,Q2,5,May,4,0,Monday,False
2026-05-05,20260505,2026-05-05,2026,Q2,5,May,5,1,Tuesday,False
2026-05-06,20260506,2026-05-06,2026,Q2,5,May,6,2,Wednesday,False
2026-05-07,20260507,2026-05-07,2026,Q2,5,May,7,3,Thursday,False
2026-05-08,20260508,2026-05-08,2026,Q2,5,May,8,4,Friday,False
2026-05-09,20260509,2026-05-09,2026,Q2,5,May,9,5,Saturday,True
2026-05-10,20260510,2026-05-10,2026,Q2,5,May,10,6,Sunday,True
2026-05-11,20260511,2026-05-11,2026,Q2,5,May,11,0,Monday,False
2026-05-12,20260512,2026-05-12,2026,Q2,5,May,12,1,Tuesday,False
2026-05-13,20260513,2026-05-13,2026,Q2,5,May,13,2,Wednesday,False
2026-05-14,20260514,2026-05-14,2026,Q2,5,May,14,3,Thursday,False
2026-05-15,20260515,2026-05-15,2026,Q2,5,May,15,4,Friday,False
2026-05-16,20260516,2026-05-16,2026,Q2,5,May,16,5,Saturday,True
2026-05-17,20260517,2026-05-17,2026,Q2,5,May,17,6,Sunday,True
2026-05-18,20260518,2026-05-18,2026,Q2,5,May,18,0,Monday,False
2026-05-19,20260519,2026-05-19,2026,Q2,5,May,19,1,Tuesday,False
2026-05-20,20260520,2026-05-20,2026,Q2,5,May,20,2,Wednesday,False
2026-05-21,20260521,2026-05-21,2026,Q2,5,May,21,3,Thursday,False
2026-05-22,20260522,2026-05-22,2026,Q2,5,May,22,4,Friday,False
2026-05-23,20260523,2026-05-23,2026,Q2,5,May,23,5,Saturday,True
2026-05-24,20260524,2026-05-24,2026,Q2,5,May,24,6,Sunday,True
2026-05-25,20260525,2026-05-25,2026,Q2,5,May,25,0,Monday,False
2026-05-26,20260526,2026-05-26,2026,Q2,5,May,26,1,Tuesday,False
2026-05-27,20260527,2026-05-27,2026,Q2,5,May,27,2,Wednesday,False
2026-05-28,20260528,2026-05-28,2026,Q2,5,May,28,3,Thursday,False
2026-05-29,20260529,2026-05-29,2026,Q2,5,May,29,4,Friday,False
2026-05-30,20260530,2026-05-30,2026,Q2,5,May,30,5,Saturday,True
2026-05-31,20260531,2026-05-31,2026,Q2,5,May,31,6,Sunday,True
2026-06-01,20260601,2026-06-01,2026,Q2,6,June,1,0,Monday,False
2026-06-02,20260602,2026-06-02,2026,Q2,6,June,2,1,Tuesday,False
2026-06-03,20260603,2026-06-03,2026,Q2,6,June,3,2,Wednesday,False
2026-06-04,20260604,2026-06-04,2026,Q2,6,June,4,3,Thursday,False
2026-06-05,20260605,2026-06-05,2026,Q2,6,June,5,4,Friday,False
2026-06-06,20260606,2026-06-06,2026,Q2,6,June,6,5,Saturday,True
2026-06-07,20260607,2026-06-07,2026,Q2,6,June,7,6,Sunday,True
2026-06-08,20260608,2026-06-08,2026,Q2,6,June,8,0,Monday,False
2026-06-09,20260609,2026-06-09,2026,Q2,6,June,9,1,Tuesday,False
2026-06-10,20260610,2026-06-10,2026,Q2,6,June,10,2,Wednesday,False
2026-06-11,20260611,2026-06-11,2026,Q2,6,June,11,3,Thursday,False
2026-06-12,20260612,2026-06-12,2026,Q2,6,June,12,4,Friday,False
2026-06-13,20260613,2026-06-13,2026,Q2,6,June,13,5,Saturday,True
2026-06-14,20260614,2026-06-14,2026,Q2,6,June,14,6,Sunday,True
2026-06-15,20260615,2026-06-15,2026,Q2,6,June,15,0,Monday,False
2026-06-16,20260616,2026-06-16,2026,Q2,6,June,16,1,Tuesday,False
2026-06-17,20260617,2026-06-17,2026,Q2,6,June,17,2,Wednesday,False
2026-06-18,20260618,2026-06-18,2026,Q2,6,June,18,3,Thursday,False
2026-06-19,20260619,2026-06-19,2026,Q2,6,June,19,4,Friday,False
2026-06-20,20260620,2026-06-20,2026,Q2,6,June,20,5,Saturday,True
2026-06-21,20260621,2026-06-21,2026,Q2,6,June,21,6,Sunday,True
2026-06-22,20260622,2026-06-22,2026,Q2,6,June,22,0,Monday,False
2026-06-23,20260623,2026-06-23,2026,Q2,6,June,23,1,Tuesday,False
2026-06-24,20260624,2026-06-24,2026,Q2,6,June,24,2,Wednesday,False
2026-06-25,20260625,2026-06-25,2026,Q2,6,June,25,3,Thursday,False
2026-06-26,20260626,2026-06-26,2026,Q2,6,June,26,4,Friday,False
2026-06-27,20260627,2026-06-27,2026,Q2,6,June,27,5,Saturday,True
2026-06-28,20260628,2026-06-28,2026,Q2,6,June,28,6,Sunday,True
2026-06-29,20260629,2026-06-29,2026,Q2,6,June,29,0,Monday,False
2026-06-30,20260630,2026-06-30,2026,Q2,6,June,30,1,Tuesday,False
2026-07-01,20260701,2026-07-01,2026,Q3,7,July,1,2,Wednesday,False
2026-07-02,20260702,2026-07-02,2026,Q3,7,July,2,3,Thursday,False
2026-07-03,20260703,2026-07-03,2026,Q3,7,July,3,4,Friday,False
2026-07-04,20260704,2026-07-04,2026,Q3,7,July,4,5,Saturday,True
2026-07-05,20260705,2026-07-05,2026,Q3,7,July,5,6,Sunday,True
2026-07-06,20260706,2026-07-06,2026,Q3,7,July,6,0,Monday,False
2026-07-07,20260707,2026-07-07,2026,Q3,7,July,7,1,Tuesday,False
2026-07-08,20260708,2026-07-08,2026,Q3,7,July,8,2,Wednesday,False
2026-07-09,20260709,2026-07-09,2026,Q3,7,July,9,3,Thursday,False
2026-07-10,20260710,2026-07-10,2026,Q3,7,July,10,4,Friday,False
2026-07-11,20260711,2026-07-11,2026,Q3,7,July,11,5,Saturday,True
2026-07-12,20260712,2026-07-12,2026,Q3,7,July,12,6,Sunday,True
2026-07-13,20260713,2026-07-13,2026,Q3,7,July,13,0,Monday,False
2026-07-14,20260714,2026-07-14,2026,Q3,7,July,14,1,Tuesday,False
2026-07-15,20260715,2026-07-15,2026,Q3,7,July,15,2,Wednesday,False
2026-07-16,20260716,2026-07-16,2026,Q3,7,July,16,3,Thursday,False
2026-07-17,20260717,2026-07-17,2026,Q3,7,July,17,4,Friday,False
2026-07-18,20260718,2026-07-18,2026,Q3,7,July,18,5,Saturday,True
2026-07-19,20260719,2026-07-19,2026,Q3,7,July,19,6,Sunday,True
2026-07-20,20260720,2026-07-20,2026,Q3,7,July,20,0,Monday,False
2026-07-21,20260721,2026-07-21,2026,Q3,7,July,21,1,Tuesday,False
2026-07-22,20260722,2026-07-22,2026,Q3,7,July,22,2,Wednesday,False
2026-07-23,20260723,2026-07-23,2026,Q3,7,July,23,3,Thursday,False
2026-07-24,20260724,2026-07-24,2026,Q3,7,July,24,4,Friday,False
2026-07-25,20260725,2026-07-25,2026,Q3,7,July,25,5,Saturday,True
2026-07-26,20260726,2026-07-26,2026,Q3,7,July,26,6,Sunday,True
2026-07-27,20260727,2026-07-27,2026,Q3,7,July,27,0,Monday,False
2026-07-28,20260728,2026-07-28,2026,Q3,7,July,28,1,Tuesday,False
2026-07-29,20260729,2026-07-29,2026,Q3,7,July,29,2,Wednesday,False
2026-07-30,20260730,2026-07-30,2026,Q3,7,July,30,3,Thursday,False
2026-07-31,20260731,2026-07-31,2026,Q3,7,July,31,4,Friday,False
2026-08-01,20260801,2026-08-01,2026,Q3,8,August,1,5,Saturday,True
2026-08-02,20260802,2026-08-02,2026,Q3,8,August,2,6,Sunday,True
2026-08-03,20260803,2026-08-03,2026,Q3,8,August,3,0,Monday,False
2026-08-04,20260804,2026-08-04,2026,Q3,8,August,4,1,Tuesday,False
2026-08-05,20260805,2026-08-05,2026,Q3,8,August,5,2,Wednesday,False
2026-08-06,20260806,2026-08-06,2026,Q3,8,August,6,3,Thursday,False
2026-08-07,20260807,2026-08-07,2026,Q3,8,August,7,4,Friday,False
2026-08-08,20260808,2026-08-08,2026,Q3,8,August,8,5,Saturday,True
2026-08-09,20260809,2026-08-09,2026,Q3,8,August,9,6,Sunday,True
2026-08-10,20260810,2026-08-10,2026,Q3,8,August,10,0,Monday,False
2026-08-11,20260811,2026-08-11,2026,Q3,8,August,11,1,Tuesday,False
2026-08-12,20260812,2026-08-12,2026,Q3,8,August,12,2,Wednesday,False
2026-08-13,20260813,2026-08-13,2026,Q3,8,August,13,3,Thursday,False
2026-08-14,20260814,2026-08-14,2026,Q3,8,August,14,4,Friday,False
2026-08-15,20260815,2026-08-15,2026,Q3,8,August,15,5,Saturday,True
2026-08-16,20260816,2026-08-16,2026,Q3,8,August,16,6,Sunday,True
2026-08-17,20260817,2026-08-17,2026,Q3,8,August,17,0,Monday,False
2026-08-18,20260818,2026-08-18,2026,Q3,8,August,18,1,Tuesday,False
2026-08-19,20260819,2026-08-19,2026,Q3,8,August,19,2,Wednesday,False
2026-08-20,20260820,2026-08-20,2026,Q3,8,August,20,3,Thursday,False
2026-08-21,20260821,2026-08-21,2026,Q3,8,August,21,4,Friday,False
2026-08-22,20260822,2026-08-22,2026,Q3,8,August,22,5,Saturday,True
2026-08-23,20260823,2026-08-23,2026,Q3,8,August,23,6,Sunday,True
2026-08-24,20260824,2026-08-24,2026,Q3,8,August,24,0,Monday,False
2026-08-25,20260825,2026-08-25,2026,Q3,8,August,25,1,Tuesday,False
2026-08-26,20260826,2026-08-26,2026,Q3,8,August,26,2,Wednesday,False
2026-08-27,20260827,2026-08-27,2026,Q3,8,August,27,3,Thursday,False
2026-08-28,20260828,2026-08-28,2026,Q3,8,August,28,4,Friday,False
2026-08-29,20260829,2026-08-29,2026,Q3,8,August,29,5,Saturday,True
2026-08-30,20260830,2026-08-30,2026,Q3,8,August,30,6,Sunday,True
2026-08-31,20260831,2026-08-31,2026,Q3,8,August,31,0,Monday,False
2026-09-01,20260901,2026-09-01,2026,Q3,9,September,1,1,Tuesday,False
2026-09-02,20260902,2026-09-02,2026,Q3,9,September,2,2,Wednesday,False
2026-09-03,20260903,2026-09-03,2026,Q3,9,September,3,3,Thursday,False
2026-09-04,20260904,2026-09-04,2026,Q3,9,September,4,4,Friday,False
2026-09-05,20260905,2026-09-05,2026,Q3,9,September,5,5,Saturday,True
2026-09-06,20260906,2026-09-06,2026,Q3,9,September,6,6,Sunday,True
2026-09-07,20260907,2026-09-07,2026,Q3,9,September,7,0,Monday,False
2026-09-08,20260908,2026-09-08,2026,Q3,9,September,8,1,Tuesday,False
2026-09-09,20260909,2026-09-09,2026,Q3,9,September,9,2,Wednesday,False
2026-09-10,20260910,2026-09-10,2026,Q3,9,September,10,3,Thursday,False
2026-09-11,20260911,2026-09-11,2026,Q3,9,September,11,4,Friday,False
2026-09-12,20260912,2026-09-12,2026,Q3,9,September,12,5,Saturday,True
2026-09-13,20260913,2026-09-13,2026,Q3,9,September,13,6,Sunday,True
2026-09-14,20260914,2026-09-14,2026,Q3,9,September,14,0,Monday,False
2026-09-15,20260915,2026-09-15,2026,Q3,9,September,15,1,Tuesday,False
2026-09-16,20260916,2026-09-16,2026,Q3,9,September,16,2,Wednesday,False
2026-09-17,20260917,2026-09-17,2026,Q3,9,September,17,3,Thursday,False
2026-09-18,20260918,2026-09-18,2026,Q3,9,September,18,4,Friday,False
2026-09-19,20260919,2026-09-19,2026,Q3,9,September,19,5,Saturday,True
2026-09-20,20260920,2026-09-20,2026,Q3,9,September,20,6,Sunday,True
2026-09-21,20260921,2026-09-21,2026,Q3,9,September,21,0,Monday,False
2026-09-22,20260922,2026-09-22,2026,Q3,9,September,22,1,Tuesday,False
2026-09-23,20260923,2026-09-23,2026,Q3,9,September,23,2,Wednesday,False
2026-09-24,20260924,2026-09-24,2026,Q3,9,September,24,3,Thursday,False
2026-09-25,20260925,2026-09-25,2026,Q3,9,September,25,4,Friday,False
2026-09-26,20260926,2026-09-26,2026,Q3,9,September,26,5,Saturday,True
2026-09-27,20260927,2026-09-27,2026,Q3,9,September,27,6,Sunday,True
2026-09-28,20260928,2026-09-28,2026,Q3,9,September,28,0,Monday,False
2026-09-29,20260929,2026-09-29,2026,Q3,9,September,29,1,Tuesday,False
2026-09-30,20260930,2026-09-30,2026,Q3,9,September,30,2,Wednesday,False
2026-10-01,20261001,2026-10-01,2026,Q4,10,October,1,3,Thursday,False
2026-10-02,20261002,2026-10-02,2026,Q4,10,October,2,4,Friday,False
2026-10-03,20261003,2026-10-03,2026,Q4,10,October,3,5,Saturday,True
2026-10-04,20261004,2026-10-04,2026,Q4,10,October,4,6,Sunday,True
2026-10-05,20261005,2026-10-05,2026,Q4,10,October,5,0,Monday,False
2026-10-06,20261006,2026-10-06,2026,Q4,10,October,6,1,Tuesday,False
2026-10-07,20261007,2026-10-07,2026,Q4,10,October,7,2,Wednesday,False
2026-10-08,20261008,2026-10-08,2026,Q4,10,October,8,3,Thursday,False
2026-10-09,20261009,2026-10-09,2026,Q4,10,October,9,4,Friday,False
2026-10-10,20261010,2026-10-10,2026,Q4,10,October,10,5,Saturday,True
2026-10-11,20261011,2026-10-11,2026,Q4,10,October,11,6,Sunday,True
2026-10-12,20261012,2026-10-12,2026,Q4,10,October,12,0,Monday,False
2026-10-13,20261013,2026-10-13,2026,Q4,10,October,13,1,Tuesday,False
2026-10-14,20261014,2026-10-14,2026,Q4,10,October,14,2,Wednesday,False
2026-10-15,20261015,2026-10-15,2026,Q4,10,October,15,3,Thursday,False
2026-10-16,20261016,2026-10-16,2026,Q4,10,October,16,4,Friday,False
2026-10-17,20261017,2026-10-17,2026,Q4,10,October,17,5,Saturday,True
2026-10-18,20261018,2026-10-18,2026,Q4,10,October,18,6,Sunday,True
2026-10-19,20261019,2026-10-19,2026,Q4,10,October,19,0,Monday,False
2026-10-20,20261020,2026-10-20,2026,Q4,10,October,20,1,Tuesday,False
2026-10-21,20261021,2026-10-21,2026,Q4,10,October,21,2,Wednesday,False
2026-10-22,20261022,2026-10-22,2026,Q4,10,October,22,3,Thursday,False
2026-10-23,20261023,2026-10-23,2026,Q4,10,October,23,4,Friday,False
2026-10-24,20261024,2026-10-24,2026,Q4,10,October,24,5,Saturday,True
2026-10-25,20261025,2026-10-25,2026,Q4,10,October,25,6,Sunday,True
2026-10-26,20261026,2026-10-26,2026,Q4,10,October,26,0,Monday,False
2026-10-27,20261027,2026-10-27,2026,Q4,10,October,27,1,Tuesday,False
2026-10-28,20261028,2026-10-28,2026,Q4,10,October,28,2,Wednesday,False
2026-10-29,20261029,2026-10-29,2026,Q4,10,October,29,3,Thursday,False
2026-10-30,20261030,2026-10-30,2026,Q4,10,October,30,4,Friday,False
2026-10-31,20261031,2026-10-31,2026,Q4,10,October,31,5,Saturday,True
2026-11-01,20261101,2026-11-01,2026,Q4,11,November,1,6,Sunday,True
2026-11-02,20261102,2026-11-02,2026,Q4,11,November,2,0,Monday,False
2026-11-03,20261103,2026-11-03,2026,Q4,11,November,3,1,Tuesday,False
2026-11-04,20261104,2026-11-04,2026,Q4,11,November,4,2,Wednesday,False
2026-11-05,20261105,2026-11-05,2026,Q4,11,November,5,3,Thursday,False
2026-11-06,20261106,2026-11-06,2026,Q4,11,November,6,4,Friday,False
2026-11-07,20261107,2026-11-07,2026,Q4,11,November,7,5,Saturday,True
2026-11-08,20261108,2026-11-08,2026,Q4,11,November,8,6,Sunday,True
2026-11-09,20261109,2026-11-09,2026,Q4,11,November,9,0,Monday,False
2026-11-10,20261110,2026-11-10,2026,Q4,11,November,10,1,Tuesday,False
2026-11-11,20261111,2026-11-11,2026,Q4,11,November,11,2,Wednesday,False
2026-11-12,20261112,2026-11-12,2026,Q4,11,November,12,3,Thursday,False
2026-11-13,20261113,2026-11-13,2026,Q4,11,November,13,4,Friday,False
2026-11-14,20261114,2026-11-14,2026,Q4,11,November,14,5,Saturday,True
2026-11-15,20261115,2026-11-15,2026,Q4,11,November,15,6,Sunday,True
2026-11-16,20261116,2026-11-16,2026,Q4,11,November,16,0,Monday,False
2026-11-17,20261117,2026-11-17,2026,Q4,11,November,17,1,Tuesday,False
2026-11-18,20261118,2026-11-18,2026,Q4,11,November,18,2,Wednesday,False
2026-11-19,20261119,2026-11-19,2026,Q4,11,November,19,3,Thursday,False
2026-11-20,20261120,2026-11-20,2026,Q4,11,November,20,4,Friday,False
2026-11-21,20261121,2026-11-21,2026,Q4,11,November,21,5,Saturday,True
2026-11-22,20261122,2026-11-22,2026,Q4,11,November,22,6,Sunday,True
2026-11-23,20261123,2026-11-23,2026,Q4,11,November,23,0,Monday,False
2026-11-24,20261124,2026-11-24,2026,Q4,11,November,24,1,Tuesday,False
2026-11-25,20261125,2026-11-25,2026,Q4,11,November,25,2,Wednesday,False
2026-11-26,20261126,2026-11-26,2026,Q4,11,November,26,3,Thursday,False
2026-11-27,20261127,2026-11-27,2026,Q4,11,November,27,4,Friday,False
2026-11-28,20261128,2026-11-28,2026,Q4,11,November,28,5,Saturday,True
2026-11-29,20261129,2026-11-29,2026,Q4,11,November,29,6,Sunday,True
2026-11-30,20261130,2026-11-30,2026,Q4,11,November,30,0,Monday,False
2026-12-01,20261201,2026-12-01,2026,Q4,12,December,1,1,Tuesday,False
2026-12-02,20261202,2026-12-02,2026,Q4,12,December,2,2,Wednesday,False
2026-12-03,20261203,2026-12-03,2026,Q4,12,December,3,3,Thursday,False
2026-12-04,20261204,2026-12-04,2026,Q4,12,December,4,4,Friday,False
2026-12-05,20261205,2026-12-05,2026,Q4,12,December,5,5,Saturday,True
2026-12-06,20261206,2026-12-06,2026,Q4,12,December,6,6,Sunday,True
2026-12-07,20261207,2026-12-07,2026,Q4,12,December,7,0,Monday,False
2026-12-08,20261208,2026-12-08,2026,Q4,12,December,8,1,Tuesday,False
2026-12-09,20261209,2026-12-09,2026,Q4,12,December,9,2,Wednesday,False
2026-12-10,20261210,2026-12-10,2026,Q4,12,December,10,3,Thursday,False
2026-12-11,20261211,2026-12-11,2026,Q4,12,December,11,4,Friday,False
2026-12-12,20261212,2026-12-12,2026,Q4,12,December,12,5,Saturday,True
2026-12-13,20261213,2026-12-13,2026,Q4,12,December,13,6,Sunday,True
